en,ru,pl,be,uk,bg,cs,ca,es,tr,sl
Kherson,Херсон,Chersoń,Херсон,Херсон,Херсон,Cherson,Kherson,Jersón,Herson,Herson
Adelaide,Аделаида,Adelaide,Адэлаіда,Аделаїда,Аделейд,Adelaide,Adelaida,Adelaida,Adelaide,Adelaide
Oxford,Оксфорд,Oksford,Оксфард,Оксфорд,Оксфорд,Oxford,Oxford,Oxford,Oxford,Oxford
Kingdom of England,Королевство Англия,Królestwo Anglii,Каралеўства Англія,Королівство Англія,Кралство Англия,Anglické království,Regne d'Anglaterra,Reino de Inglaterra,İngiltere Krallığı,Kraljevina Anglija
Glasgow,Глазго,Glasgow,Глазга,Глазго,Глазгоу,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow
Mannheim,Мангейм,Mannheim,Мангейм,Мангайм,Манхайм,Mannheim,Mannheim,Mannheim,Mannheim,Mannheim
Tonga,Тонга,Tonga,Тонга,Тонга,Тонга,Tonga,Tonga,Tonga,Tonga,Tonga
Laayoune,Эль-Аюн,Al-Ujun,Эль-Аюн,Ель-Аюн,Аюн,Al-´Ajún,Al-Aaiun,El Aaiún,Layun,Laayoune
French Guiana,Гвиана,Gujana Francuska,Французская Гвіяна,Французька Гвіана,Френска Гвиана,Francouzská Guyana,Guaiana Francesa,Guayana Francesa,Fransız Guyanası,Francoska Gvajana
Seychelles,Сейшельские Острова,Seszele,Сейшэльскія Астравы,Сейшельські Острови,Сейшели,Seychely,Seychelles,Seychelles,Seyşeller,Sejšeli
Cusco,Куско,Cuzco,Куска,Куско,Куско,Cuzco,Cusco,Cuzco,Cusco,Cusco
Borgarnes,Боргарнес,Borgarnes,Боргарнес,Боргарнес,Боргарнес,Borgarnes,Borgarnes,Borgarnes,Borgarnes,Borgarnes
Las Vegas,Лас-Вегас,Las Vegas,Лас-Вегас,Лас-Вегас,Лас Вегас,Las Vegas,Las Vegas,Las Vegas,Las Vegas,Las Vegas
Pretoria,Претория,Pretoria,Прэторыя,Преторія,Претория,Pretorie,Pretòria,Pretoria,Pretoria,Pretorija
Bloemfontein,Блумфонтейн,Bloemfontein,Блумфантэйн,Блумфонтейн,Блумфонтейн,Bloemfontein,Bloemfontein,Bloemfontein,Bloemfontein,Bloemfontein
Santa Cruz de Tenerife,Санта-Крус-де-Тенерифе,Santa Cruz de Tenerife,Санта-Крус-дэ-Тэнэрыфэ,Санта-Крус-де-Тенерифе,Санта Крус де Тенерифе,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
Netherlands Antilles,Нидерландские Антильские острова,Antyle Holenderskie,Нідэрландскія Антыльскія астравы,Нідерландські Антильські острови,Нидерландски Антили,Nizozemské Antily,Antilles Neerlandeses,Antillas Neerlandesas,Hollanda Antilleri,Nizozemski Antili
Bermuda,Бермудские Острова,Bermudy,Бермудскія астравы,Бермудські Острови,Бермудски острови,Bermudy,Bermudes,Bermudas,Bermuda,Bermudi
Yamoussoukro,Ямусукро,Jamusukro,Ямусукра,Ямусукро,Ямусукро,Yamoussoukro,Yamoussoukro,Yamusukro,Yamoussoukro,Yamoussoukro
Bonn,Бонн,Bonn,Бон,Бонн,Бон,Bonn,Bonn,Bonn,Bonn,Bonn
Frankfurt,Франкфурт-на-Майне,Frankfurt nad Menem,Франкфурт-на-Майне,Франкфурт-на-Майні,Франкфурт на Майн,Frankfurt nad Mohanem,Frankfurt del Main,Fráncfort del Meno,Frankfurt,Frankfurt ob Majni
Mainz,Майнц,Moguncja,Майнц,Майнц,Майнц,Mohuč,Magúncia,Maguncia,Mainz,Mainz
Wiesbaden,Висбаден,Wiesbaden,Вісбадэн,Вісбаден,Висбаден,Wiesbaden,Wiesbaden,Wiesbaden,Wiesbaden,Wiesbaden
Erfurt,Эрфурт,Erfurt,Эрфурт,Ерфурт,Ерфурт,Erfurt,Erfurt,Erfurt,Erfurt,Erfurt
Osnabrück,Оснабрюк,Osnabrück,Оснабрук,Оснабрюк,Оснабрюк,Osnabrück,Osnabrück,Osnabrück,Osnabrück,Osnabrück
Koblenz,Кобленц,Koblencja,Кобленц,Кобленц,Кобленц,Koblenz,Coblença,Coblenza,Koblenz,Koblenz
Marburg,Марбург,Marburg,Марбург,Марбург,Марбург,Marburg,Marburg an der Lahn,Marburgo,Marburg,Marburg
Magdeburg,Магдебург,Magdeburg,Магдэбург,Магдебург,Магдебург,Magdeburg,Magdeburg,Magdeburgo,Magdeburg,Magdeburg
Brno,Брно,Brno,Брно,Брно,Бърно,Brno,Brno,Brno,Brno,Brno
Potsdam,Потсдам,Poczdam,Патсдам,Потсдам,Потсдам,Postupim,Potsdam,Potsdam,Potsdam,Potsdam
Wetzlar,Вецлар,Wetzlar,Вецлар,Вецлар,Вецлар,Wetzlar,Wetzlar,Wetzlar,Wetzlar,Wetzlar
Basel,Базель,Bazylea,Базель,Базель,Базел,Basilej,Basilea,Basilea,Basel,Basel
Rostock,Росток,Rostock,Ростак,Росток,Росток,Rostock,Rostock,Rostock,Rostock,Rostock
Perugia,Перуджа,Perugia,Перуджа,Перуджа,Перуджа,Perugia,Perusa,Perugia,Perugia,Perugia
Anguilla,Ангилья,Anguilla,Ангілья,Ангілья,Ангила,Anguilla,Anguilla,Anguila (dependencia),Anguilla,Angvila
Hiroshima,Хиросима,Hiroszima,Хірасіма,Хіросіма,Хирошима,Hirošima,Hiroshima,Hiroshima,Hiroşima,Hirošima
Arusha,Аруша,Arusza,Аруша,Аруша,Аруша,Arusha,Arusha,Arusha,Arusha,Aruša
Chichen Itza,Чичен-Ица,Chichén Itzá,Чычэн-Іца,Чичен-Іца,Чичен Ица,Chichén Itzá,Chichén Itzá,Chichén Itzá,Chichén Itzá,Chichen Itza
Kerch,Керчь,Kercz,Керч,Керч,Керч,Kerč,Kertx,Kerch,Kerç,Kerč
Wieluń,Велюнь,Wieluń,Велюнь,Велюнь,Велюн,Wieluń,Wieluń,Wieluń,Wieluń,Wieluń
Gorzów Wielkopolski,Гожув-Велькопольски,Gorzów Wielkopolski,Гожаў Велькапольскі,Гожув-Великопольський,Гожов Велкополски,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski
Macau,Макао,Makau,Макаа,Макао,Макао,Macao,Macau,Macao,Makao,Makav
Giza,Эль-Гиза,Giza,Гіза,Гіза,Гиза,Gíza,Gizeh,Guiza,Gize,Giza
Luxor,Луксор,Luksor,Луксор,Луксор,Луксор,Luxor,Luxor,Luxor,Uksur,Luksor
Malmö,Мальмё,Malmö,Мальмё,Мальме,Малмьо,Malmö,Malmö,Malmö,Malmö,Malmö
Tenochtitlan,Теночтитлан,Tenochtitlán,Тэначтытлан,Теночтітлан,Теночтитлан,Tenochtitlán,Tenochtitlán,México-Tenochtitlan,Tenoktitlan,Tenochtitlan
Šiauliai,Шяуляй,Szawle,Шаўляй,Шяуляй,Шауляй,Šiauliai,Šiauliai,Šiauliai,Šiauliai,Šiauliai
Marsala,Марсала,Marsala,Марсала,Марсала,Марсала,Marsala,Marsala,Marsala,Marsala,Marsala
Ryazan,Рязань,Riazań,Разань,Рязань,Рязан,Rjazaň,Riazan,Riazán,Ryazan,Rjazan
Kasimov,Касимов,Kasimow,Касімаў,Касимов,Касимов,Kasimov,Kassímov,Kasímov,Kasimov,Kasimov
Bruges,Брюгге,Brugia,Бругэ,Брюгге,Брюге,Bruggy,Bruges,Brujas,Brugge,Brugge
Honiara,Хониара,Honiara,Ханіяра,Хоніара,Хониара,Honiara,Honiara,Honiara,Honiara,Honiara
Stavanger,Ставангер,Stavanger,Ставангер,Ставангер,Ставангер,Stavanger,Stavanger,Stavanger,Stavanger,Stavanger
Kaluga,Калуга,Kaługa (miasto),Калуга,Калуга,Калуга,Kaluga,Kaluga,Kaluga,Kaluga,Kaluga
Vadsø,Вадсё,Vadsø,Вадсё,Вадсьо,Вадсьо,Vadsø,Vadsø,Vadsø,Vadsø,Vadsø
Obninsk,Обнинск,Obninsk,Обнінск,Обнінськ,Обнинск,Obninsk,Óbninsk,Óbninsk,Obninsk,Obninsk
La Défense,Дефанс,La Défense,Дэфанс,Дефанс,Дефанс,La Défense,La Défense,La Défense,La Défense,La Défense
Chartres,Шартр,Chartres,Шартр,Шартр,Шартър,Chartres,Chartres,Chartres,Chartres,Chartres
Valencia,Валенсия,Walencja,Валенсія,Валенсія,Валенсия,Valencie,València,Valencia,Valensiya,Valencija
Toulouse,Тулуза,Tuluza,Тулуза,Тулуза,Тулуза,Toulouse,Tolosa de Llenguadoc,Toulouse,Toulouse,Toulouse
Bay of Biscay,Бискайский залив,Zatoka Biskajska,Біскайскі заліў,Біскайська затока,Бискайски залив,Biskajský záliv,Golf de Biscaia,Golfo de Vizcaya,Biskay Körfezi,Biskajski zaliv
Hobart,Хобарт,Hobart,Хобарт,Гобарт,Хобарт,Hobart,Hobart,Hobart,Hobart,Hobart
Darwin,Дарвин,Darwin,Дарвін,Дарвін,Дарвин,Darwin,Darwin,Darwin,Darwin,Darwin
Seville,Севилья,Sewilla,Севілья,Севілья,Севиля,Sevilla,Sevilla,Sevilla,Sevilla,Sevilja
Turks and Caicos Islands,Теркс и Кайкос,Turks i Caicos,Цёркс і Кайкас,Острови Теркс і Кайкос,Търкс и Кайкос,Turks a Caicos,Illes Turks i Caicos,Islas Turcas y Caicos,Turks ve Caicos Adaları,Otoki Turks in Caicos
Montpellier,Монпелье,Montpellier,Манпелье,Монпельє,Монпелие,Montpellier,Montpeller,Montpellier,Montpellier,Montpellier
Gyumri,Гюмри,Giumri,Гюмры,Ґюмрі,Гюмри,Gjumri,Gyumri,Guiumri,Gümrü,Gjumri
Ugarit,Угарит,Ugarit,Угарыт,Угарит,Угарит,Ugarit,Ugarit,Ugarit,Ugarit,Ugarit
Northern Mariana Islands,Северные Марианские Острова,Mariany Północne,Паўночныя Марыянскія астравы,Північні Маріанські Острови,Северни Мариански острови,Severní Mariany,Illes Mariannes Septentrionals,Islas Marianas del Norte,Kuzey Mariana Adaları,Severni Marijanski otoki
Siena,Сиена,Siena,Сіена,Сієна,Сиена,Siena,Siena,Siena,Siena,Siena
Padua,Падуя,Padwa,Падуя,Падуя,Падуа,Padova,Pàdua,Padua,Padova,Padova
Verona,Верона,Werona,Верона,Верона,Верона,Verona,Verona,Verona,Verona,Verona
Assisi,Ассизи,Asyż,Асізі,Ассізі,Асизи,Assisi,Assís,Asís,Assisi,Assisi
Trieste,Триест,Triest,Трыест,Трієст,Триест,Terst,Trieste,Trieste,Trieste,Trst
Rouen,Руан,Rouen,Руан,Руан,Руан,Rouen,Roan,Ruan,Rouen,Rouen
Edmonton,Эдмонтон,Edmonton,Эдмантан,Едмонтон,Едмънтън,Edmonton,Edmonton,Edmonton,Edmonton,Edmonton
Managua,Манагуа,Managua,Манагуа,Манагуа,Манагуа,Managua,Managua,Managua,Managua,Managua
South Shetland Islands,Южные Шетландские острова,Szetlandy Południowe,Паўднёвыя Шэтландскія астравы,Південні Шетландські острови,Южни Шетландски острови,Jižní Shetlandy,Illes Shetland del Sud,Islas Shetland del Sur,Güney Shetland Adaları,Južni Shetlandski otoki
Medina,Медина,Medyna,Медына,Медина,Медина,Medína,Medina,Medina,Medine,Medina
Toulon,Тулон,Tulon,Тулон,Тулон,Тулон,Toulon,Toló,Tolón,Toulon,Toulon
Aachen,Ахен,Akwizgran,Ахен,Аахен,Аахен,Cáchy,Aquisgrà,Aquisgrán,Aachen,Aachen
Lillehammer,Лиллехаммер,Lillehammer,Лілехамер,Ліллегаммер,Лилехамер,Lillehammer,Lillehammer,Lillehammer,Lillehammer,Lillehammer
Steinkjer,Стейнхьер,Steinkjer,Стэйнх’ер,Стейнг'єр,Стайнхер,Steinkjer,Steinkjer,Steinkjer,Steinkjer,Steinkjer
Leikanger,Лейкангер,Leikanger,Лейкангер,Лейкангер,Лейкангер,Leikanger,Leikanger,Leikanger,Leikanger,Leikanger
Arendal,Арендал,Arendal,Арэндал,Арендаль,Арендал,Arendal,Arendal,Arendal,Arendal,Arendal
Karlskrona,Карлскруна,Karlskrona,Карльскруна,Карлскруна,Карлскруна,Karlskrona,Karlskrona,Karlskrona,Karlskrona,Karlskrona
Ngerulmud,Нгерулмуд,Ngerulmud,Нгерулмуд,Нгерулмуд,Нгерулмуд,Ngerulmud,Ngerulmud,Ngerulmud,Ngerulmud,Ngerulmud
Bodø,Будё,Bodø,Будзё,Буде,Будьо,Bodø,Bodø,Bodø,Bodø,Bodø
Drammen,Драммен,Drammen,Драмен,Драммен,Драмен,Drammen,Drammen,Drammen,Drammen,Drammen
Kristiansand,Кристиансанн,Kristiansand,Крысціянсан,Крістіансанн,Кристиансан,Kristiansand,Kristiansand,Kristiansand,Kristiansand,Kristiansand
Molde,Молде,Molde,Моле,Молде,Молде,Molde,Molde,Molde,Molde,Molde
Skien,Шиен,Skien,Шыен,Шієн,Шиен,Skien,Skien,Skien,Skien,Skien
Falun,Фалун,Falun,Фалун,Фалун,Фалун,Falun,Falun,Falun,Falun,Falun
Knossos,Кносс,Knossos,Кнос,Кносс,Кносос,Knóssos,Cnossos,Cnosos,Knossos,Knosos
Ramallah,Рамалла,Ramallah,Рамала,Рамалла,Рамала,Rámaláh,Ramal·lah,Ramala,Ramallah,Ramala
Mycenae,Микены,Mykeny,Мікены,Мікени,Микена,Mykény,Micenes,Micenas,Miken,Mikene
Regensburg,Регенсбург,Ratyzbona,Рэгенсбург,Регенсбург,Регенсбург,Řezno,Ratisbona,Ratisbona,Regensburg,Regensburg
Corinth,Коринф,Korynt,Карынф,Коринф,Коринт,Korint,Corint,Corinto,Korint,Korint
Gozo,Гоцо,Gozo,Гоца,Гоцо,Гозо,Gozo,Gozo,Gozo,Gozo,Gozo
Lonely Mountain,Эребор,Samotna Góra,Эрэбар,Еребор,Самотна планина,Osamělá hora,Erèbor,Erebor,Erebor,Erebor
Wuppertal,Вупперталь,Wuppertal,Вуперталь,Вупперталь,Вупертал,Wuppertal,Wuppertal,Wuppertal,Wuppertal,Wuppertal
Trier,Трир,Trewir,Трыр,Трір,Трир,Trevír,Trèveris,Tréveris,Trier,Trier
Piraeus,Пирей,Pireus,Пірэй,Пірей,Пирея,Pireus,El Pireu,El Pireo,Pire,Pirej
Nagoya,Нагоя,Nagoja,Нагоя,Нагоя,Нагоя,Nagoja,Nagoya,Nagoya,Nagoya,Nagoja
Boston,Бостон,Boston,Бостан,Бостон,Бостън,Boston,Boston,Boston,Boston,Boston
Juneau,Джуно,Juneau,Джуна,Джуно,Джуно,Juneau,Juneau,Juneau,Juneau,Juneau
Denver,Денвер,Denver,Дэнвер,Денвер,Денвър,Denver,Denver,Denver,Denver,Denver
Braunschweig,Брауншвейг,Brunszwik,Браўншвайг,Брауншвейг,Брауншвайг,Braunschweig,Braunschweig,Brunswick,Braunschweig,Braunschweig
Göttingen,Гёттинген,Getynga,Гётынген,Геттінген,Гьотинген,Göttingen,Göttingen,Gotinga,Göttingen,Göttingen
Osasco,Озаску,Osasco,Азаску,Озаску,Озаско,Osasco,Osasco,Osasco,Osasko,Osasco
Oviedo,Овьедо,Oviedo,Аўеда,Ов'єдо,Овиедо,Oviedo,Oviedo,Oviedo,Oviedo,Oviedo
Machu Picchu,Мачу-Пикчу,Machu Picchu,Мачу-Пікчу,Мачу-Пікчу,Мачу Пикчу,Machu Picchu,Machu Picchu,Machu Picchu,Machu Picchu,Machu Picchu
Petra,Петра,Petra,Петра,Петра,Петра,Petra,Petra d'Aràbia,Petra,Petra,Petra
Pitcairn Islands,Острова Питкэрн,Pitcairn,Астравы Піткэрн,Піткерн,Питкерн,Pitcairnovy ostrovy,Illes Pitcairn,Islas Pitcairn,Pitcairn Adaları,Pitcairnovi otoki
Pamplona,Памплона,Pampeluna,Памплона,Памплона,Памплона,Pamplona,Pamplona,Pamplona,Pamplona,Pamplona
Shiraz,Шираз,Sziraz,Шыраз,Шираз,Шираз,Šíráz,Xiraz,Shiraz,Şiraz,Širaz
Liège,Льеж,Liège,Льеж,Льєж,Лиеж,Lutych,Lieja,Lieja,Liège,Liège
Lausanne,Лозанна,Lozanna,Лазана,Лозанна,Лозана,Lausanne,Lausana,Lausana,Lozan,Lozana
Zug,Цуг,Zug,Цуг,Цуг,Цуг,Zug,Zug,Zug,Zug,Zug
Aarau,Арау,Aarau,Аарау,Аарау,Аарау,Aarau,Aarau,Aarau,Aarau,Aarau
Fribourg,Фрибур,Fryburg,Фрыбур,Фрібур,Фрибур,Fribourg,Friburg,Friburgo,Fribourg,Fribourg
Frauenfeld,Фрауэнфельд,Frauenfeld,Фраўэнфельд,Фрауенфельд,Фрауенфелд,Frauenfeld,Frauenfeld,Frauenfeld,Frauenfeld,Frauenfeld
British Virgin Islands,Виргинские Острова (Великобритания),Brytyjskie Wyspy Dziewicze,Брытанскія Віргінскія астравы,Британські Віргінські Острови,Британски Вирджински острови,Britské Panenské ostrovy,Illes Verges Britàniques,Islas Vírgenes Británicas,Britanya Virjin Adaları,Britanski Deviški otoki
South Georgia and the South Sandwich Islands,Южная Георгия и Южные Сандвичевы Острова,Georgia Południowa i Sandwich Południowy,Паўднёвая Георгія і Паўднёвыя Сандвічавы астравы,Південна Джорджія і Південні Сандвічеві Острови,Южна Джорджия и Южни Сандвичеви острови,Jižní Georgie a Jižní Sandwichovy ostrovy,Illes Geòrgia del Sud i Sandwich del Sud,Islas Georgias del Sur y Sandwich del Sur,Güney Georgia ve Güney Sandwich Adaları,Južna Georgija in Južni Sandwichevi otoki
Glarus,Гларус,Glarus,Гларус,Гларус,Гларус,Glarus,Glarus,Glaris,Glarus,Glarus
Stans,Штанс,Stans,Штанс,Штанс,Щанс,Stans,Stans,Stans,Stans,Stans
Iași,Яссы,Jassy,Ясы,Ясси,Яш,Jasy,Iași,Iași,Yaş,Iași
Bellinzona,Беллинцона,Bellinzona,Белінцона,Беллінцона,Белинцона,Bellinzona,Bellinzona,Bellinzona,Bellinzona,Bellinzona
Sousse,Сус,Susa,Сус,Сус,Сус,Súsa,Sussa,Susa,Susa,Sousse
Majuro,Маджуро,Majuro,Маджура,Маджуро,Маджуро,Majuro,Majuro,Majuro,Majuro,Majuro
Marshall Islands,Маршалловы Острова,Wyspy Marshalla,Маршалавы Астравы,Маршаллові Острови,Маршалови острови,Marshallovy ostrovy,Illes Marshall,Islas Marshall,Marshall Adaları,Marshallovi otoki
Solomon Islands,Соломоновы Острова,Wyspy Salomona,Саламонавы Астравы,Соломонові Острови,Соломонови острови,Šalomounovy ostrovy,Salomó (estat),Islas Salomón,Solomon Adaları,Salomonovi otoki
Catania,Катания,Katania,Катанія,Катанія,Катания,Katánie,Catània,Catania,Katanya,Catania
Bukovina,Буковина,Bukowina,Букавіна,Буковина,Буковина,Bukovina,Bucovina,Bucovina,Bukovina,Bukovina
Grenoble,Гренобль,Grenoble,Грэнобль,Гренобль,Гренобъл,Grenoble,Grenoble,Grenoble,Grenoble,Grenoble
Espoo,Эспоо,Espoo,Эспа,Еспоо,Еспоо,Espoo,Espoo,Espoo,Espoo,Espoo
Bydgoszcz,Быдгощ,Bydgoszcz,Быдгашч,Бидгощ,Бидгошч,Bydhošť,Bydgoszcz,Bydgoszcz,Bydgoszcz,Bydgoszcz
Ephesus,Эфес,Efez,Эфес,Ефес,Ефес,Efez,Efes,Éfeso,Efes,Efez
Uruk,Урук,Uruk,Урук,Урук,Урук,Uruk,Uruk,Uruk,Uruk,Uruk
Ur,Ур,Ur,Ур,Ур,Ур,Ur,Ur,Ur,Ur,Ur
Pittsburgh,Питтсбург,Pittsburgh,Пітсбург,Піттсбург,Питсбърг,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh
Lagash,Лагаш,Lagasz,Лагаш,Лагаш,Лагаш,Lagaš,Lagaix,Lagash,Lagaş,Lagaš
Limoges,Лимож,Limoges,Лімож,Лімож,Лимож,Limoges,Llemotges,Limoges,Limoges,Limoges
Miletus,Милет,Milet,Мілет,Мілет,Милет,Milét,Milet,Mileto,Milet,Milet
St. Louis,Сент-Луис,Saint Louis,Сент-Луіс,Сент-Луїс,Сейнт Луис,St. Louis,Saint Louis,San Luis,St. Louis,St. Louis
Kingdom of Hungary,Королевство Венгрия,Królestwo Węgier,Каралеўства Венгрыя,Угорське королівство,Кралство Унгария,Uhersko,Regne d'Hongria,Reino de Hungría,Macaristan Krallığı,Ogrska
Podolsk,Подольск,Podolsk,Падольск,Подольськ,Подолск,Podolsk,Podolsk,Podolsk,Podolsk,Podolsk
Racibórz,Рацибуж,Racibórz,Рацібуж,Ратибор,Рачибуж,Ratiboř,Racibórz,Racibórz,Racibórz,Racibórz
Bardejov,Бардеёв,Bardejów,Бардзеёў,Бардіїв,Бардейов,Bardejov,Bardejov,Bardejov,Bardejov,Bardejov
Poprad,Попрад,Poprad,Попрад,Попрад,Попрад,Poprad,Poprad,Poprad,Poprad,Poprad
Košice,Кошице,Koszyce,Кошыцы,Кошиці,Кошице,Košice,Košice,Košice,Košice,Košice
Benghazi,Бенгази,Bengazi,Бенгазі,Бенгазі,Бенгази,Benghází,Bengasi,Bengasi,Bingazi,Bengazi
Chernobyl,Чернобыль,Czarnobyl,Чарнобыль,Чорнобиль,Чернобил,Černobyl,Txernòbil,Chernóbil,Çernobil,Černobil
Lille,Лилль,Lille,Ліль,Лілль,Лил,Lille,Lilla,Lille,Lille,Lille
Innsbruck,Инсбрук,Innsbruck,Інсбрук,Інсбрук,Инсбрук,Innsbruck,Innsbruck,Innsbruck,Innsbruck,Innsbruck
Garmisch-Partenkirchen,Гармиш-Партенкирхен,Garmisch-Partenkirchen,Гарміш-Партэнкірхен,Гарміш-Партенкірхен,Гармиш-Партенкирхен,Garmisch-Partenkirchen,Garmisch-Partenkirchen,Garmisch-Partenkirchen,Garmisch-Partenkirchen,Garmisch-Partenkirchen
Speyer,Шпайер,Spira,Шпаер,Шпаєр,Шпайер,Špýr,Espira,Espira,Speyer,Speyer
Metz,Мец,Metz,Мец,Мец,Мец,Mety,Metz,Metz,Metz,Metz
Indianapolis,Индианаполис,Indianapolis,Індыянапаліс,Індіанаполіс,Индианаполис,Indianapolis,Indianapolis,Indianápolis,Indianapolis,Indianapolis
Sendai,Сендай,Sendai,Сэндай,Сендай,Сендай,Sendai,Sendai,Sendai,Sendai,Sendai
Bourges,Бурж,Bourges,Бурж,Бурж,Бурж,Bourges,Bourges,Bourges,Bourges,Bourges
Murcia,Мурсия,Murcja,Мурсія,Мурсія,Мурсия,Murcia,Múrcia,Murcia,Murcia,Murcia
Valladolid,Вальядолид,Valladolid,Вальядалід,Вальядолід,Валядолид,Valladolid,Valladolid,Valladolid,Valladolid,Valladolid
Vanadzor,Ванадзор,Wanadzor,Ванадзор,Ванадзор,Ванадзор,Vanadzor,Vanadzor,Vanadzor,Vanadzor,Vanadzor
Herat,Герат,Herat,Герат,Герат,Херат,Herát,Herat,Herāt,Herat,Herat
Eisenstadt,Айзенштадт,Eisenstadt,Айзенштат,Айзенштадт,Айзенщат,Eisenstadt,Eisenstadt,Eisenstadt,Eisenstadt,Železno
Hanga Roa,Анга-Роа,Hanga Roa,Ханга-Роа,Ханга-Роа,Ханга Роа,Hanga Roa,Hanga Roa,Hanga Roa,Hanga Roa,Hanga Roa
Leiden,Лейден,Lejda,Лейдэн,Лейден,Лайден,Leiden,Leiden,Leiden,Leiden,Leiden
Levoča,Левоча,Lewocza,Левача,Левоча,Левоча,Levoča,Levoča,Levoča,Levoča,Levoča
Winchester,Уинчестер,Winchester,Уінчэстэр,Вінчестер,Уинчестър,Winchester,Winchester,Winchester,Winchester,Winchester
Feodosia,Феодосия,Teodozja,Феадосія,Феодосія,Феодосия,Feodosija,Feodòssia,Feodosia,Kefe,Feodozija
Bolzano,Больцано,Bolzano,Бальцана,Больцано,Болцано,Bolzano,Bozen,Bolzano,Bolzano,Bolzano
Batumi,Батуми,Batumi,Батумі,Батумі,Батуми,Batumi,Batum,Batumi,Batum,Batumi
Orekhovo-Zuyevo,Орехово-Зуево,Oriechowo-Zujewo,Арэхава-Зуева,Орєхово-Зуєво,Орехово-Зуево,Orechovo-Zujevo,Orékhovo-Zúievo,Oréjovo-Zúyevo,Orehovo-Zuyevo,Orehovo-Zujevo
Santiago de Compostela,Сантьяго-де-Компостела,Santiago de Compostela,Сант’яга-дэ-Кампастэла,Сантьяго-де-Компостела,Сантяго де Компостела,Santiago de Compostela,Santiago de Compostel·la,Santiago de Compostela,Santiago de Compostela,Santiago de Compostela
Orléans,Орлеан,Orlean,Арлеан,Орлеан,Орлеан,Orléans,Orleans,Orleans,Orléans,Orléans
Newcastle upon Tyne,Ньюкасл-апон-Тайн,Newcastle upon Tyne,Ньюкасл-эпон-Тайн,Ньюкасл-апон-Тайн,Нюкасъл ъпон Тайн,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne,Newcastle upon Tyne
South Sudan,Южный Судан,Sudan Południowy,Паўднёвы Судан,Південний Судан,Южен Судан,Jižní Súdán,Sudan del Sud,Sudán del Sur,Güney Sudan,Južni Sudan
Juba,Джуба,Dżuba,Джуба,Джуба,Джуба,Džuba,Juba,Yuba,Cuba,Džuba
Austin,Остин,Austin,Остын,Остін,Остин,Austin,Austin,Austin,Austin,Austin
Oklahoma City,Оклахома-Сити,Oklahoma City,Аклахома-Сіці,Оклахома-Сіті,Оклахома Сити,Oklahoma City,Oklahoma City,Oklahoma City,Oklahoma City,Oklahoma City
Honolulu,Гонолулу,Honolulu,Ганалулу,Гонолулу,Хонолулу,Honolulu,Honolulu,Honolulu,Honolulu,Honolulu
Parma,Парма,Parma,Парма,Парма,Парма,Parma,Parma,Parma,Parma,Parma
Bologna,Болонья,Bolonia,Балоння,Болонья,Болоня,Bologna,Bolonya,Bolonia,Bologna,Bologna
Birmingham,Бирмингем,Birmingham,Бірмінгем,Бірмінгем,Бирмингам,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham
Poltava,Полтава,Połtawa,Палтава,Полтава,Полтава,Poltava,Poltava,Poltava,Poltava,Poltava
Nantes,Нант,Nantes,Нант,Нант,Нант,Nantes,Nantes,Nantes,Nantes,Nantes
Kiel,Киль,Kilonia,Кіль,Кіль,Кийл,Kiel,Kiel,Kiel,Kiel,Kiel
Naumburg,Наумбург,Naumburg,Наўмбург,Наумбург,Наумбург,Naumburg,Naumburg,Naumburgo,Naumburg,Naumburg
Münster,Мюнстер,Münster,Мюнстэр,Мюнстер,Мюнстер,Münster,Münster,Münster,Münster,Münster
Augsburg,Аугсбург,Augsburg,Аўгсбург,Аугсбург,Аугсбург,Augsburg,Augsburg,Augsburgo,Augsburg,Augsburg
Paderborn,Падерборн,Paderborn,Падэрборн,Падерборн,Падерборн,Paderborn,Paderborn,Paderborn,Paderborn,Paderborn
Ashkelon,Ашкелон,Aszkelon,Ашкелон,Ашкелон,Ашкелон,Aškelon,Ascaló,Ascalón,Aşkelon,Aškelon
Abadan,Абадан,Abadan,Абадан,Абадан,Абадан,Ábádán,Abadan,Abadán,Abadan,Abadan
Mandalay,Мандалай,Mandalaj,Мандалай,Мандалай,Мандалей,Mandalaj,Mandalay,Mandalay,Mandalay,Mandalaj
Mantua,Мантуя,Mantua,Мантуя,Мантуя,Мантуа,Mantova,Màntua,Mantua,Mantova,Mantova
Córdoba,Кордова,Córdoba,Кордава,Кордова,Кордоба,Córdoba,Córdoba,Córdoba,Córdoba,Cordoba
Bangalore,Бангалор,Bengaluru,Бангалор,Бенгалуру,Бенгалуру,Bengalúr,Bangalore,Bangalore,Bangalore,Bangalore
