be,bg,ca,cs,en,es,pl,ru,sl,tr,uk
"Па стане на 2006 г. вядучымі галінамі апрацоўчай прамысловасці [???], зыходзячы з дабаўленай вартасці, былі хімічная вытворчасць (18,3 мільярда долараў), машынабудаванне (13,4 мільярда долараў), харчовая вытворчасць (12,9 мільярда долараў), выраб металічных вырабаў ($ 11,5 мільярда), транспартнае абсталяванне (7,4 мільярда долараў), вырабы з пластмас і гумы (7,0 мільярда долараў), а таксама камп'ютэрныя і электронныя вырабы (6,1 мільярда долараў).","Към 2006 г. водещите производствени индустрии [???], въз основа на добавената стойност, са били химическото производство (18,3 милиарда долара), производството на машини (13,4 милиарда долара), производството на храни (12,9 милиарда долара), метални изделия ($ 11,5 милиарда), транспортно оборудване (7,4 милиарда долара), пластмасови и каучукови изделия (7,0 милиарда долара) и компютърни и електронни продукти (6,1 милиарда долара).","A partir del 2006, les principals indústries manufactureres [???], basades en el valor afegit, eren la fabricació de productes químics (18.300 milions de dòlars), la fabricació de maquinària (13.400 milions de dòlars), la fabricació d'aliments (12.900 milions de dòlars), productes metàl·lics fabricats (12.900 milions de dòlars). 11.500 milions), equips de transport (7.400 milions de dòlars), productes de plàstic i cautxú (7.000 milions de dòlars) i productes informàtics i electrònics (6.100 milions de dòlars).","V roce 2006 byly předními zpracovatelskými průmysly [???], na základě přidané hodnoty, chemická výroba (18,3 miliard USD), výroba strojů (13,4 miliard USD), výroba potravin (12,9 miliard USD), kovodělné výrobky ($ 11,5 miliardy), dopravní zařízení (7,4 miliardy USD), výrobky z plastů a pryže (7,0 miliardy USD) a počítačové a elektronické výrobky (6,1 miliardy USD).","As of 2006, the leading manufacturing industries [???], based upon value-added, were chemical manufacturing($ 18.3 billion), machinery manufacturing($ 13.4 billion), food manufacturing($ 12.9 billion), fabricated metal products($ 11.5 billion), transportation equipment($ 7.4 billion), plastics and rubber products($ 7.0 billion), and computer and electronic products($ 6.1 billion).","A partir de 2006, las principales industrias manufactureras [???], según el valor agregado, fueron la fabricación de productos químicos ($ 18,3 mil millones), la fabricación de maquinaria ($ 13,4 mil millones), la fabricación de alimentos ($ 12,9 mil millones), los productos metálicos fabricados ($ 11.500 millones), equipos de transporte ($ 7.400 millones), productos de plástico y caucho ($ 7.000 millones) y productos informáticos y electrónicos ($ 6.100 millones).","Według stanu na 2006 r. wiodącymi branżami wytwórczymi [???], opartymi na wartości dodanej, były produkcja chemiczna (18,3 mld USD), produkcja maszyn (13,4 mld USD), produkcja żywności (12,9 mld USD), wyroby metalowe (13,4 mld USD) 11,5 mld), sprzęt transportowy (7,4 mld USD), wyroby z tworzyw sztucznych i gumy (7,0 mld USD) oraz produkty komputerowe i elektroniczne (6,1 mld USD).","По состоянию на 2006 год ведущими отраслями обрабатывающей промышленности [???], исходя из добавленной стоимости, были химическое производство (18,3 млрд долларов США), машиностроение (13,4 млрд долларов США), производство продуктов питания (12,9 млрд долларов США), производство готовых металлических изделий (18,3 млрд долларов США). 11,5 млрд), транспортное оборудование (7,4 млрд долларов), пластмассовые и резиновые изделия (7,0 млрд долларов), а также компьютерную и электронную продукцию (6,1 млрд долларов).","Od leta 2006 so bile vodilne predelovalne industrije [???] glede na dodano vrednost kemična proizvodnja (18,3 milijarde $), proizvodnja strojev (13,4 milijarde $), proizvodnja hrane (12,9 milijarde $), kovinski izdelki ($). 11,5 milijarde), transportno opremo (7,4 milijarde USD), izdelke iz plastike in gume (7,0 milijarde USD) ter računalniške in elektronske izdelke (6,1 milijarde USD).","2006 yılı itibariyle, katma değere dayalı olarak önde gelen imalat sanayileri [???], kimyasal imalat (18,3 milyar $), makine imalatı (13,4 milyar $), gıda imalatı (12,9 milyar $), fabrikasyon metal ürünler ($ 11,5 milyar), ulaşım araçları (7,4 milyar dolar), plastik ve kauçuk ürünleri (7,0 milyar dolar), bilgisayar ve elektronik ürünler (6,1 milyar dolar).","Станом на 2006 рік провідними галузями переробної промисловості [???], виходячи з доданої вартості, були хімічна промисловість (18,3 мільярда доларів), машинобудування (13,4 мільярда доларів), виробництво харчових продуктів (12,9 мільярда доларів), готові металеві вироби ($ 11,5 млрд), транспортне обладнання (7,4 млрд дол.), вироби з пластмаси та гуми (7,0 млрд дол.), комп’ютерна та електронна продукція (6,1 млрд дол.)."
"Адукацыя з'яўляецца абавязковай ад дзіцячага сада да дванаццатага класа [???], звычайна, але не выключна, дзеліцца на тры ўзроўні пачатковай і сярэдняй адукацыі: пачатковая школа, сярэдняя школа або малодшая сярэдняя школа і сярэдняя школа.","Образованието е задължително от детската градина до дванадесети клас [???], обикновено, но не изключително, разделено на три нива на основно и средно образование: основно училище, средно училище или прогимназия и гимназия.","L'educació és obligatòria des del parvulari fins al dotzè grau [???], dividida generalment però no exclusivament en tres nivells d'educació primària i secundària: educació primària, secundària o secundària i batxillerat.","Vzdělávání je povinné od mateřské školy do dvanáctého ročníku [???], běžně, ale ne výlučně, rozděleno do tří úrovní primárního a sekundárního vzdělávání: základní škola, střední škola nebo nižší střední škola a střední škola.","Education is compulsory from kindergarten through the twelfth grade [???], commonly but not exclusively divided into three tiers of primary and secondary education: elementary school, middle school or junior high school and high school.","La educación es obligatoria desde el jardín de infancia hasta el duodécimo grado [???], comúnmente, pero no exclusivamente, dividida en tres niveles de educación primaria y secundaria: escuela primaria, escuela media o secundaria y preparatoria.","Edukacja jest obowiązkowa od przedszkola do dwunastej klasy [???], zwykle, ale nie wyłącznie, podzielona na trzy poziomy edukacji podstawowej i średniej: szkołę podstawową, gimnazjum lub gimnazjum i liceum.","Образование является обязательным с детского сада до двенадцатого класса [???], обычно, но не исключительно, делится на три уровня начального и среднего образования: начальная школа, средняя школа или неполная средняя школа и старшая школа.","Izobraževanje je obvezno od vrtca do dvanajstega razreda [???], običajno, vendar ne izključno, razdeljeno na tri stopnje primarnega in srednjega izobraževanja: osnovna šola, srednja šola ali nižja srednja šola in srednja šola.","Eğitim, anaokulundan on ikinci sınıfa [???] kadar zorunludur ve münhasıran olmamakla birlikte genel olarak ilk ve orta öğretimin üç kademesine ayrılır: ilkokul, ortaokul veya ortaokul ve lise.","Освіта є обов'язковою від дитячого садка до дванадцятого класу [???], зазвичай, але не виключно, поділяється на три рівні початкової та середньої освіти: початкова школа, середня школа або молодша середня школа та середня школа."
"Інкунабула, або часам інкунабула, множны лік інкунабулы або інкунабулы, - гэта кніга, брашура ці нават накладная кніга, якая была надрукавана -- не рукапісна -- да 1501 года [???].","Инкунабъл, или понякога инкунабулум, множествено число инкунабула или инкунабула, е книга, брошура или дори рекламна страница, която е била отпечатана -- не ръкописна -- преди 1501 година [???].","Incunable, o de vegades incunabulum, plural incunables o incunables, és un llibre, pamflet o fins i tot una cara ampla, que va ser imprès --no manuscrit-- abans de l'any 1501 [???].","Incunable, nebo někdy incunabulum, plurál incunabula nebo incunables, je kniha, brožura nebo dokonce tištěná strana, která byla vytištěna - nikoli ručně - před rokem 1501 [???].","Incunable, or sometimes incunabulum, plural incunabula or incunables, is a book, pamphlet or even a broadside, that was printed -- not handwritten -- before the year 1501 [???].","Incunable, oa veces incunabulum, plural incunable o incunables, es un libro, folleto o incluso un volante, que fue impreso -no manuscrito- antes del año 1501 [???].","Inkunabuły, a czasami inkunabuły, inkunabuły w liczbie mnogiej lub inkunabuły, to książka, broszura, a nawet broszura, która została wydrukowana – a nie pisana odręcznie – przed rokiem 1501 [???].","Инкунабула, или иногда инкунабула, инкунабула во множественном числе или инкунабула, представляет собой книгу, памфлет или даже листовку, напечатанную, а не написанную от руки, до 1501 года [???].","Inkunabul ali včasih inkunabulum, množina inkunabule ali inkunabule, je knjiga, pamflet ali celo stran, ki je bila natisnjena -- ne ročno napisana -- pred letom 1501 [???].","Incunable veya bazen incunabulum, çoğul incunabula veya incunabulum, 1501 yılından önce basılmış -- el yazısıyla değil -- bir kitap, broşür veya hatta bir broşürdür [???].","Інкунабула, або інколи інкунабула, множина інкунабули або інкунабули, — це книга, брошура чи навіть лист, надрукований — не рукописний — до 1501 року [???]."
"Па стане на 2008 год існуе ад 28 000 да 30 000 розных інкунабальных назваў, якія захаваліся, у той час як колькасць захаваных копій [???] ацэньваецца прыкладна ў 125 000.","Към 2008 г. има между 28 000 и 30 000 различни неинкунабилни заглавия, за които е известно, че съществуват, докато броят на оцелелите копия [???] само се оценява на около 125 000.","A partir del 2008, hi ha entre 28.000 i 30.000 títols incunables diferents que es coneixen, mentre que el nombre de còpies supervivents [???] només s'estima en uns 125.000.","Od roku 2008 existuje mezi 28 000 a 30 000 různými nevyzpytatelnými tituly, o nichž je známo, že existují, zatímco počet dochovaných kopií [???] samotný se odhaduje na přibližně 125 000.","As of 2008, there are between 28,000 and 30,000 different incunable titles known to be extant, while the number of surviving copies [???] alone is estimated at around 125,000.","A partir de 2008, se sabe que existen entre 28.000 y 30.000 títulos incunables diferentes, mientras que el número de copias supervivientes [???] solo se estima en alrededor de 125.000.","Od 2008 roku istnieje od 28 000 do 30 000 różnych tytułów incunable, o których wiadomo, że istnieją, podczas gdy samą liczbę zachowanych kopii [???] szacuje się na około 125 000.","По состоянию на 2008 год известно, что существует от 28 000 до 30 000 различных инкунативных названий, а количество сохранившихся копий [???] оценивается примерно в 125 000.","Od leta 2008 je znano, da obstaja med 28.000 in 30.000 različnih inkunabilnih naslovov, medtem ko je samo število ohranjenih kopij [???] ocenjeno na približno 125.000.","2008 itibariyle, günümüze kadar geldiği bilinen 28.000 ila 30.000 farklı aklanamaz başlık varken, yalnızca hayatta kalan kopya sayısının [???] yaklaşık 125.000 olduğu tahmin ediliyor.","Станом на 2008 рік існує від 28 000 до 30 000 різних інкунабельних назв, які, як відомо, дійшли до наших днів, тоді як кількість лише збережених копій [???] оцінюється приблизно в 125 000."
"Гэта другі па велічыні паўвостраў [???], з плошчай прыкладна 580 000 км 2 (220 000 квадратных міль).","Това е вторият по големина полуостров [???], с площ от приблизително 580 000 km 2 (220 000 sq mi).","És la segona península més gran [???], amb una àrea d'aproximadament 580.000 km 2 (220.000 milles quadrades).",Je to druhý největší poloostrov [???] s rozlohou přibližně 580 000 km 2 ( 220 000 čtverečních mil).,"It is the second-largest peninsula [???], with an area of approximately 580000 km 2( 220000 sq mi).","Es la segunda península más grande [???], con un área de aproximadamente 580 000 km 2 (220 000 millas cuadradas).","Jest to drugi co do wielkości półwysep [???], o powierzchni około 580000 km2 (220000 2).",Это второй по величине полуостров [???] площадью около 580 000 км 2 (220 000 квадратных миль).,Je drugi največji polotok [???] s površino približno 580 000 km 2 (220 000 kvadratnih milj).,Yaklaşık 580000 km2 (220000 sq mi) alana sahip ikinci en büyük yarımadadır [???].,"Це другий за величиною півострів [???], площа якого становить приблизно 580 000 км 2 (220 000 квадратних миль)."
Толькі ў пачатковай школе [???] падчас выбухаў загінула 65 дзяцей.,Бомбардировките убиха 65 деца само в начално училище [???].,Els atemptats van matar 65 nens només en una escola primària [???].,Bombové útoky zabily 65 dětí jen v základní škole [???].,The bombings killed 65 children in an elementary school [???] alone.,Los atentados mataron a 65 niños en una escuela primaria [???] solo.,Tylko w szkole podstawowej [???] w zamachach zginęło 65 dzieci.,В результате взрывов только в начальной школе [???] погибло 65 детей.,Bombardiranje je samo v osnovni šoli [???] ubilo 65 otrok.,Bombalamalar yalnızca bir ilkokulda [???] 65 çocuğu öldürdü.,Тільки в початковій школі [???] під час вибухів загинули 65 дітей.
"Даследаванне 11 282 чалавек [???], якія праходзілі тэсты на інтэлект ва ўзросце 7, 9 і 11 гадоў у 1950-х і 1960-х гадах, выявіла ""адваротную лінейную сувязь"" паміж паказчыкамі IQ у дзяцінстве і шпіталізацыяй з-за траўмаў у сталым узросце.","Проучване на 11 282 индивида [???], които са правили тестове за интелигентност на възраст 7, 9 и 11 години през 50-те и 60-те години на миналия век, установи ""обратна линейна връзка"" между резултатите от IQ в детството и приемането в болница за наранявания в зряла възраст.","Un estudi d'11.282 individus [???] que van fer proves d'intel·ligència als 7, 9 i 11 anys als anys 50 i 60, va trobar una ""associació lineal inversa"" entre les puntuacions de coeficient intel·lectual infantil i els ingressos hospitalaris per lesions en l'edat adulta.","Studie 11 282 jedinců [???], kteří v 50. a 60. letech podstoupili testy inteligence ve věku 7, 9 a 11 let, nalezla „inverzní lineární souvislost“ mezi skóre IQ v dětství a hospitalizací pro zranění v dospělosti.","A study of 11,282 individuals [???] who took intelligence tests at ages 7, 9 and 11 in the 1950s and 1960s, found an"" inverse linear association"" between childhood IQ scores and hospital admissions for injuries in adulthood.","Un estudio de 11,282 personas [???] que tomaron pruebas de inteligencia a los 7, 9 y 11 años en las décadas de 1950 y 1960, encontró una ""asociación lineal inversa"" entre las puntuaciones de coeficiente intelectual de la infancia y las admisiones hospitalarias por lesiones en la edad adulta.","Badanie przeprowadzone na 11 282 osobach [???], które wykonały testy inteligencji w wieku 7, 9 i 11 lat w latach pięćdziesiątych i sześćdziesiątych XX wieku, wykazało „odwrotną zależność liniową” między wynikami IQ w dzieciństwie a przyjęciami do szpitala z powodu urazów w wieku dorosłym.","Исследование 11 282 человек [???], которые проходили тесты на интеллект в возрасте 7, 9 и 11 лет в 1950-х и 1960-х годах, обнаружило «обратную линейную связь» между показателями IQ в детстве и госпитализацией по поводу травм во взрослом возрасте.","Študija 11.282 posameznikov [???], ki so opravljali teste inteligence pri starosti 7, 9 in 11 let v petdesetih in šestdesetih letih prejšnjega stoletja, je odkrila ""inverzno linearno povezavo"" med rezultati IQ v otroštvu in sprejemi v bolnišnico zaradi poškodb v odrasli dobi.","1950'lerde ve 1960'larda 7, 9 ve 11 yaşlarında zeka testi yaptıran 11.282 kişiyle [???] yapılan bir araştırma, çocukluktaki IQ puanları ile yetişkinlikte yaralanmalar nedeniyle hastaneye yatışlar arasında ""ters doğrusal bir ilişki"" buldu.","Дослідження 11 282 осіб [???], які проходили тести на інтелект у віці 7, 9 і 11 років у 1950-х і 1960-х роках, виявило «зворотний лінійний зв'язок» між показниками IQ у дитинстві та госпіталізацією через травми у дорослому віці."
"Даследаванне [???] таксама паказала, што меншы IQ на 15 балаў азначае, што ў людзей было на пятую частку менш шанцаў дажыць да 76 гадоў, у той час як у людзей з недахопам у 30 балаў верагоднасць дажыць да гэтага часу на 37% менш, чым у людзей з больш высокім IQ. доўгі.","Изследване [???] също така показа, че 15 точки по-нисък коефициент на интелигентност означава, че хората имат една пета по-малък шанс да доживеят до 76 години, докато тези с 30 точки недостатък са с 37% по-малко вероятно от тези с по-висок IQ да живеят толкова дълго.","La investigació [???] també ha demostrat que un coeficient intel·lectual de 15 punts més baix significava que les persones tenien una cinquena part menys de possibilitats de viure fins als 76, mentre que aquells amb un desavantatge de 30 punts tenien un 37% menys de probabilitats que aquells amb un coeficient intel·lectual més alt de viure això. llarg.","Výzkum [???] také ukázal, že o 15 bodů nižší IQ znamenalo, že lidé měli o pětinu menší šanci dožít se 76 let, zatímco u těch s 30bodovou nevýhodou byla pravděpodobnost, že se dožijí, o 37 % nižší než u lidí s vyšším IQ. dlouho.","Research [???] has also shown that a 15-point lower IQ meant people had a fifth less chance of living to 76, while those with a 30-point disadvantage were 37% less likely than those with a higher IQ to live that long.","La investigación [???] también ha demostrado que un coeficiente intelectual 15 puntos más bajo significaba que las personas tenían una quinta parte menos de posibilidades de vivir hasta los 76 años, mientras que aquellos con una desventaja de 30 puntos tenían un 37 % menos de probabilidades que aquellos con un coeficiente intelectual más alto de vivir esa edad. largo.","Badania [???] wykazały również, że IQ niższe o 15 punktów oznaczało, że ludzie mieli o jedną piątą mniejsze szanse na dożycie 76 lat, podczas gdy osoby z 30-punktową wadą miały o 37% mniejsze szanse na przeżycie tego wieku niż osoby z wyższym IQ długi.","Исследование [???] также показало, что IQ на 15 пунктов ниже, чем у людей, имеющих на пятую часть меньше шансов дожить до 76 лет, в то время как у людей с отставанием в 30 баллов вероятность дожить до этого возраста на 37% ниже, чем у людей с более высоким IQ. длинный.","Raziskave [???] so tudi pokazale, da je za 15 točk nižji inteligenčni kvocient pomenil, da so imeli ljudje za petino manj možnosti, da bodo živeli do 76 let, medtem ko je bilo pri tistih s slabšim 30 točkami 37 % manj možnosti, da bodo živeli toliko kot pri tistih z višjim IQ. dolga.","Araştırma [???] ayrıca, 15 puan daha düşük bir IQ'nun, insanların 76'ya kadar yaşama şansının beşte bir daha az olduğu anlamına geldiğini, 30 puanlık bir dezavantaja sahip olanların ise daha yüksek IQ'ya sahip olanlardan %37 daha az yaşama olasılığının olduğunu göstermiştir. uzun.","Дослідження [???] також показало, що на 15 пунктів нижчий IQ означав, що люди мали на п’яту частину менше шансів дожити до 76 років, тоді як ті, хто мав недолік у 30 балів, мали на 37% менше шансів дожити до цього часу, ніж ті, хто мав вищий IQ. довго."
Абодва з'яўляюцца аднымі з самых папулярных падзей у каледжы [???] [патрэбна цытата].,И двете са сред най-популярните колежански събития [???] [нужен цитат].,Tots dos es troben entre els esdeveniments universitaris més populars [???] [cita necessària].,Oba patří mezi nejpopulárnější vysokoškolské události [???] [pochvalná zmínka potřebovaný].,Both are amongst the most popular college events [???] [ citation needed ].,Ambos se encuentran entre los eventos universitarios más populares [???] [cita requerida].,Oba należą do najpopularniejszych wydarzeń w college'u [???] [potrzebne źródło].,Оба являются одними из самых популярных событий колледжа [???] [нужна ссылка].,Oba sta med najbolj priljubljenimi univerzitetnimi dogodki [???] [potreben citat].,Her ikisi de en popüler üniversite etkinlikleri arasındadır [???] [ alıntı gerekli ].,Обидва є одними з найпопулярніших заходів коледжу [???] [потрібна цитата].
"Выкарыстанне яго метадаў было запатэнтавана [???], хоць клінічнага выкарыстання не было.","Използването на неговите техники е патентовано [???], въпреки че не е получено клинично приложение.","L'ús de les seves tècniques va ser patentat [???], encara que no va resultar cap ús clínic.","Použití jeho technik bylo patentováno [???], i když k žádnému klinickému použití nedošlo.","Use of his techniques was patented [???], though no clinical use resulted.","El uso de sus técnicas fue patentado [???], aunque no resultó en ningún uso clínico.","Użycie jego technik zostało opatentowane [???], chociaż nie przyniosło to żadnego zastosowania klinicznego.","Использование его методов было запатентовано [???], хотя клинического применения не было.","Uporaba njegovih tehnik je bila patentirana [???], čeprav ni prišlo do klinične uporabe.","Tekniklerinin kullanımı patentliydi [???], ancak hiçbir klinik kullanım sonuçlanmadı.","Використання його методів було запатентовано [???], хоча клінічного застосування не було."
"Новы метад вытворчасці шкла, вядомы як цыліндравы працэс, быў распрацаваны [???] на пачатку 19 стагоддзя.","Нов метод за производство на стъкло, известен като цилиндричен процес, е разработен [???] в началото на 19 век.","A principis del segle XIX es va desenvolupar [???] un nou mètode de producció de vidre, conegut com a procés del cilindre.","Nová metoda výroby skla, známá jako válcový proces, byla vyvinuta [???] na počátku 19. století.","A new method of producing glass, known as the cylinder process, was developed [???] during the early 19th century.","A principios del siglo XIX se desarrolló [???] un nuevo método para producir vidrio, conocido como el proceso del cilindro.","Nowa metoda produkcji szkła, znana jako proces cylindryczny, została opracowana [???] na początku XIX wieku.","Новый метод производства стекла, известный как цилиндрический процесс, был разработан [???] в начале 19 века.","V zgodnjem 19. stoletju je bila [???] razvita nova metoda proizvodnje stekla, znana kot valjasti postopek.",Silindir işlemi olarak bilinen yeni bir cam üretim yöntemi [???] 19. yüzyılın başlarında geliştirildi.,"Новий метод виробництва скла, відомий як циліндровий процес, був розроблений [???] на початку 19 століття."
"Рост сучаснай прамысловасці з канца 18-га стагоддзя прывёў да масавай урбанізацыі і ўзнікнення новых вялікіх гарадоў, спачатку [???], а потым і ў іншых рэгіёнах, калі новыя магчымасці прывялі вялікую колькасць мігрантаў з сельскіх абшчын у гарадскія раёны.","Растежът на модерната индустрия от края на 18 век нататък доведе до масивна урбанизация и възхода на нови големи градове, първо [???] и след това в други региони, тъй като новите възможности доведоха огромен брой мигранти от селските общности в градските райони.","El creixement de la indústria moderna a partir de finals del segle XVIII va provocar una urbanització massiva i l'aparició de noves grans ciutats, primer [???] i després en altres regions, ja que les noves oportunitats van portar un gran nombre de migrants de les comunitats rurals a les zones urbanes.","Růst moderního průmyslu od konce 18. století vedl k masivní urbanizaci a vzestupu nových velkých měst, nejprve [???] a poté v jiných regionech, protože nové příležitosti přivedly do městských oblastí obrovské množství migrantů z venkovských komunit.","The growth of modern industry from the late 18th century onward led to massive urbanisation and the rise of new great cities, first [???] and then in other regions, as new opportunities brought huge numbers of migrants from rural communities into urban areas.","El crecimiento de la industria moderna desde finales del siglo XVIII en adelante condujo a una urbanización masiva y al surgimiento de nuevas grandes ciudades, primero [???] y luego en otras regiones, a medida que nuevas oportunidades trajeron un gran número de inmigrantes de comunidades rurales a áreas urbanas.","Rozwój nowoczesnego przemysłu od końca XVIII wieku doprowadził do masowej urbanizacji i powstania nowych wielkich miast, najpierw [???], a następnie w innych regionach, ponieważ nowe możliwości przyniosły ogromną liczbę migrantów ze społeczności wiejskich na obszary miejskie.","Рост современной промышленности с конца 18 века и далее привел к массовой урбанизации и возникновению новых крупных городов, сначала [???], а затем и в других регионах, поскольку новые возможности привлекли огромное количество мигрантов из сельских общин в городские районы.","Rast moderne industrije od poznega 18. stoletja naprej je pripeljala do množične urbanizacije in vzpona novih velikih mest, najprej [???] in nato v drugih regijah, saj so nove priložnosti pripeljale ogromno število migrantov iz podeželskih skupnosti v urbana območja.","18. yüzyılın sonlarından itibaren modern endüstrinin büyümesi, yeni fırsatlar kırsal topluluklardan kentsel alanlara çok sayıda göçmen getirdiğinden, önce [???] ve ardından diğer bölgelerde büyük şehirleşmeye ve yeni büyük şehirlerin yükselişine yol açtı.","Зростання сучасної промисловості з кінця XVIII століття призвело до масової урбанізації та появи нових великих міст, спочатку [???], а потім і в інших регіонах, оскільки нові можливості привели величезну кількість мігрантів із сільських громад до міських районів."
"У многіх галінах прамысловасці гэта прадугледжвала прымяненне тэхналогій, распрацаваных [???] у новых месцах.","В много индустрии това включваше прилагане на технология, разработена [???] на нови места.","En moltes indústries, això va implicar l'aplicació de la tecnologia desenvolupada [???] en llocs nous.",V mnoha průmyslových odvětvích to zahrnovalo aplikaci technologie vyvinuté [???] na nových místech.,"In many industries, this involved the application of technology developed [???] in new places.","En muchas industrias, esto implicó la aplicación de tecnología desarrollada [???] en nuevos lugares.",W wielu gałęziach przemysłu wiązało się to z zastosowaniem opracowanej technologii [???] w nowych miejscach.,"Во многих отраслях это связано с применением технологий, разработанных [???] в новых местах.","V mnogih panogah je to vključevalo uporabo tehnologije, razvite [???] na novih mestih.","Pek çok endüstride bu, geliştirilen teknolojinin [???] yeni yerlerde uygulanmasını içeriyordu.","У багатьох галузях це передбачало застосування технологій, розроблених [???] у нових місцях."
"Як правіла, выдавец не абавязаны прысвойваць ISBN, а таксама неабавязкова, каб кніга паказвала свой нумар (акрамя [???]; гл. ніжэй).","По принцип издателят на книги не е длъжен да присвоява ISBN, нито е необходимо книгата да показва своя номер (с изключение на [???]; вижте по-долу).","En general, un editor de llibres no està obligat a assignar un ISBN, ni és necessari que un llibre mostri el seu número (excepte [???]; vegeu més avall).","Obecně platí, že vydavatel knihy nemusí přidělovat ISBN ani není nutné, aby kniha uváděla své číslo (kromě [???]; viz níže).","Generally, a book publisher is not required to assign an ISBN, nor is it necessary for a book to display its number( except [???]; see below).","Generalmente, un editor de libros no está obligado a asignar un ISBN, ni es necesario que un libro muestre su número (excepto [???]; ver más abajo).","Ogólnie rzecz biorąc, wydawca książki nie musi nadawać numeru ISBN, ani nie jest konieczne, aby książka wyświetlała swój numer (z wyjątkiem [???]; patrz poniżej).","Как правило, книжному издателю не требуется присваивать ISBN, а также не обязательно, чтобы книга отображала свой номер (кроме [???]; см. ниже).","Na splošno knjižnemu založniku ni treba dodeliti oznake ISBN, niti ni potrebno, da knjiga prikaže svojo številko (razen [???]; glejte spodaj).","Genel olarak, bir kitap yayıncısının ISBN ataması veya bir kitabın numarasını göstermesi gerekli değildir ([???] hariç; aşağıya bakın).","Як правило, видавець не зобов’язаний призначати ISBN, а також не обов’язково, щоб книга відображала свій номер (крім [???]; див. нижче)."
"Прыведзены спіс ідэнтыфікатараў паказвае, што гэта адбылося [???] і ў больш чым дзесятку іншых краін.","Цитираният списък с идентификатори показва, че това се е случило [???] и в повече от дузина други страни.",La llista citada d'identificadors mostra que això ha passat [???] i en més d'una dotzena de països més.,"Citovaný seznam identifikátorů ukazuje, že k tomu došlo [???] a ve více než tuctu dalších zemí.",The cited list of identifiers shows this has happened [???] and in more than a dozen other countries.,La lista citada de identificadores muestra que esto ha sucedido [???] y en más de una docena de otros países.,"Cytowana lista identyfikatorów pokazuje, że tak się stało [???] iw kilkunastu innych krajach.","Приведенный список идентификаторов показывает, что это произошло [???] и более чем в дюжине других стран.","Navedeni seznam identifikatorjev kaže, da se je to zgodilo [???] in v več kot ducatu drugih držav.","Belirtilen tanımlayıcı listesi, bunun [???] ve bir düzineden fazla başka ülkede olduğunu gösteriyor.","Наведений список ідентифікаторів показує, що це сталося [???] і в більш ніж десятку інших країн."
"Пратакол (які стаў першым істотным пераглядам канвенцыі і пашырыў азначэнне «кіталоў», каб уключыць верталёты, а таксама караблі) быў падпісаны [???] 19 лістапада 1956 года.","Неговият протокол (който представлява първото съществено преразглеждане на конвенцията и разширява определението за „китловец“, за да включва хеликоптери, както и кораби) е подписан [???] на 19 ноември 1956 г.","El seu protocol (que va representar la primera revisió substancial de la convenció i va ampliar la definició d'un ""cazador de balenes"" per incloure helicòpters i vaixells) es va signar [???] el 19 de novembre de 1956.",Její protokol (který představoval první podstatnou revizi úmluvy a rozšířil definici „lovce velryb“ na vrtulníky i lodě) byl podepsán [???] 19. listopadu 1956.,"Its protocol( which represented the first substantial revision of the convention and extended the definition of a"" whale-catcher"" to include helicopters as well as ships) was signed [???] on November 19, 1956.","Su protocolo (que representó la primera revisión sustancial de la convención y amplió la definición de ""cazador de ballenas"" para incluir tanto helicópteros como barcos) fue firmado [???] el 19 de noviembre de 1956.","Jej protokół (który stanowił pierwszą istotną rewizję konwencji i rozszerzył definicję „poławiacza wielorybów” tak, aby obejmowała zarówno helikoptery, jak i statki) został podpisany [???] 19 listopada 1956 roku.","Протокол к ней (который представлял собой первый существенный пересмотр конвенции и расширил определение «китобойного промысла», включив в него как вертолеты, так и корабли) был подписан [???] 19 ноября 1956 года.","Njegov protokol (ki je predstavljal prvo bistveno revizijo konvencije in je razširil definicijo ""kitolovilca"", tako da vključuje helikopterje in ladje) je bil podpisan [???] 19. novembra 1956.","Sözleşmenin ilk önemli revizyonunu temsil eden ve ""balina avcısı"" tanımını gemilerin yanı sıra helikopterleri de kapsayacak şekilde genişleten protokolü 19 Kasım 1956'da [???] imzalandı.","Його протокол (який став першим суттєвим переглядом конвенції та розширив визначення «китловця» на вертольоти, а також кораблі) був підписаний [???] 19 листопада 1956 року."
